name,latitude_deg,longitude_deg,icao_code
Kaifeng Air Base,34.75389862,114.3389969,
Laiyang Air Base,36.9636,120.591003,
Luyang Air Base,33.685434,112.89053,
Xuzhou Daguozhang Air Base,34.229285,117.245665,
Zhucheng Air Base,36.027468,119.43778,
Baoji Air Base,34.53125,107.470679,
Hainanzhou Gonghe Airport,36.3367,100.480003,ZLHN
Huangdicun Naval Air Base,40.49979,120.659295,
Lanzhou Air Base,35.917801,104.218002,
Lintao Air Base,35.3083,103.835999,
Qingshui Air Base,39.554699,98.884201,
Ürümqi South Air Base,43.466593,87.531177,
Malan Air Base,42.180621,87.186784,
Wugong Air Base,34.275907,108.2658,
Ürümqi Changji Air Base,43.951175,87.079232,
Wuwei Air Base,37.9883,102.567001,
Xi'an Air Base,34.153059,108.599739,
Xincheng Air Base,25.5483,114.619003,
Yaerbashi Test Range,43.077202,92.808098,
Yanliang Air Base,34.642248,109.241867,
Daishan Air Base,30.287581,122.144401,
Feidong Air Base,31.909401,117.658997,
Fuzhou Air Base,26.003857,119.312832,
Huian Air Base,25.0261,118.806999,
Hangzhou Jianqiao Airport,30.3353,120.240997,
Jiaxing Nanhu Airport,30.698056,120.663056,ZSJX
Longtian Air Base,25.5728,119.459999,
Nanchang Xiangtang Air Base,28.421205,115.923375,
Ningbo Zhuangqiao Air Base,29.9228,121.573997,
Shanghai Dachang Air Base,31.324438,121.409508,
Wuhan Hannan Municipal Airport,30.25521,114.062805,
Zhangshu Air Base,28.023283,115.549649,
Changchun Air Base,43.906591,125.197005,
Beijing Nanjiao Airport,39.482845,116.372295,ZBNJ
Dingxin-Shuangchengzi Air Base,40.401402,99.789398,
Fuxin Air Base,42.078899,121.662003,
Gongzhuling Air Base,43.526293,124.78466,
Kaiyuan Air Base,42.525934,123.984683,
Lalin Air Base,45.259457,126.893536,
Pingquan Air Base,40.900409,118.677878,
Shenyang Beiling Air Base,41.8708,123.439003,
Shenyang Yuhong Quansheng Airport,41.822498,123.299004,
Siping Air Base,43.156898,124.292,
Suizhong Air Base,40.298992,120.36152,
Tuchengzi Air Base,38.912201,121.238998,
Shigatse Tingri Airport,28.604567,86.798,ZUDR
Tashikuergan Hongqilafu Airport,37.661333,75.288877,ZWTK
Jiande Qiandaohu General Airport,29.360905,119.180829,
Sanya Air Base,18.28754,109.46372,
Chenghu General Airport,31.215334,120.789328,
Anji Tianzihu General Airport,30.797725,119.590287,
Jiuzhou Airport,26.998259,107.759571,
Paozhuwan Air Base,30.673944,114.63089,
Shanpo Air Base,30.087612,114.31366,
Ali Pulan Airport,30.397898,81.13317,ZUPL
Shaodong Airport,27.2235,111.6741,
Ningxiang Airport,27.987589,112.604971,
Hohhot Shengle International Airport (under construction),40.480965,111.575174,
